Object ID,Land Area (Square Meters),ALANDHIST,Water Area (Square Meters),AWATERHIST,ZIP Code Tabulation Area FIPS Class Code,EFFDATE,ESTABDATE,Functional Status,Geographic Identifier,Legal/Statistical Area Description Code,MAF/TIGER Feature Class Code,Base Name,Name,OID,Vintage,Zip Code Tabulation Area Code,Decennial Housing Count,Decennial Population Count (100%),Centroid Longitude,Centroid Latitude,Internal Point Longitude,Internal Point Latitude,STGEOMETRY_AREA,STGEOMETRY_LEN,Shape__Area,Shape__Length
65,102401425,102401425,11451,11451,B5,,,S,91381,Z5,G6350,91381,ZCTA5 91381,221704258473025,70,91381,7331,20862,-118.6074426,+34.3752981,-118.6079714,+34.3732214,150706775.200228,76102.3480987293,0.0100376509353737,0.627440813582116
66,14609508,14608613,2023746,2023746,B5,,,S,92649,Z5,G6350,92649,ZCTA5 92649,221704258475761,70,92649,15385,34082,-118.0453969,+33.7195145,-118.0453833,+33.7202415,24104600.5808746,29949.6509273949,0.00161792593598875,0.249703713535958
67,10256580,10256607,0,0,B5,,,S,92843,Z5,G6350,92843,ZCTA5 92843,221704258475919,70,92843,11499,45480,-117.9315377,+33.7639633,-117.9315377,+33.7639633,14878894.8108222,31478.2521069567,0.000998168591195281,0.257825752471945
68,23575286,23576596,33638,33638,B5,,,S,92708,Z5,G6350,92708,ZCTA5 92708,221704258475861,70,92708,19589,57192,-117.9513148,+33.7104601,-117.9511290,+33.7105823,34206407.4238505,26381.6199843881,0.00229620953973608,0.218234151670714
69,14906720,14906720,69778,69778,B5,,,S,91790,Z5,G6350,91790,ZCTA5 91790,221704258473729,70,91790,14190,46364,-117.9378608,+34.0672293,-117.9370069,+34.0669637,21879680.2804928,31115.5212645999,0.00146261015606797,0.255355185754788
70,349890939,349890937,2573370,2573370,B5,,,S,95076,Z5,G6350,95076,ZCTA5 95076,221704258477010,70,95076,24983,84433,-121.7508554,+36.9402445,-121.7560577,+36.9457806,552778996.177706,194921.344551251,0.0356531587331119,1.56774199970069
71,2386068,2386068,0,0,B5,,,S,90716,Z5,G6350,90716,ZCTA5 90716,221704258472109,70,90716,3766,14098,-118.0729587,+33.8304734,-118.0729587,+33.8304734,3466723.8711023,9111.95443849181,0.000232388709036968,0.074724178655046
72,13908247,13908247,39061,39061,B5,,,S,91605,Z5,G6350,91605,ZCTA5 91605,221704258473200,70,91605,16846,54341,-118.4006571,+34.2069664,-118.4009730,+34.2073412,20442960.079495,23745.9002827229,0.00136431069608989,0.198556018003314
73,9650544,9650544,83739,83739,B5,,,S,91402,Z5,G6350,91402,ZCTA5 91402,221704258473096,70,91402,19799,70140,-118.4448119,+34.2240900,-118.4446893,+34.2225061,14273564.3366563,20353.3630951899,0.000952387438019286,0.165745310929142
74,14986630,14986630,442625,442625,B5,,,S,90058,Z5,G6350,90058,ZCTA5 90058,221704258469930,70,90058,1249,3751,-118.2144985,+34.0026125,-118.2163997,+34.0028436,22507115.6581784,32615.4145162354,0.00150569933998668,0.271732414968493
75,8495419,8495419,0,0,B5,,,S,90001,Z5,G6350,90001,ZCTA5 90001,221704258467529,70,90001,13820,55859,-118.2490388,+33.9736648,-118.2490388,+33.9736648,12384168.2296037,20562.9800385507,0.000828768429528282,0.16693347698113
76,7750658,7750658,0,0,B5,,,S,90002,Z5,G6350,90002,ZCTA5 90002,221704258467550,70,90002,13036,53150,-118.2467796,+33.9489868,-118.2467796,+33.9489868,11292006.7878157,18173.6443475524,0.000755898492343476,0.149216937844864
77,1011326,1011326,0,0,B5,,,S,90010,Z5,G6350,90010,ZCTA5 90010,221704258467757,70,90010,3152,5400,-118.3131861,+34.0620783,-118.2998843,+34.0609873,1477304.41094293,16705.0505086138,9.87606706530642E-05,0.141106930127108
78,6046215,6046215,1884,1884,B5,,,S,90710,Z5,G6350,90710,ZCTA5 90710,221704258472083,70,90710,9637,26605,-118.2992177,+33.7980659,-118.3002391,+33.7989054,8780702.80532479,15353.5343032279,0.000588829525895562,0.123678316324975
79,11449952,11449951,37428,37428,B5,,,S,90807,Z5,G6350,90807,ZCTA5 90807,221704258472350,70,90807,12909,32412,-118.1811384,+33.8309693,-118.1811814,+33.8302054,16690231.2657949,22288.9779624026,0.00111880806571207,0.182341538164779
80,13024494,13024494,3367092,3367092,B5,,,S,93035,Z5,G6350,93035,ZCTA5 93035,221704258475995,70,93035,12253,28070,-119.2300902,+34.1895278,-119.2288853,+34.1862870,24015870.6624026,37853.4674486496,0.0016030947526815,0.305334333340934
81,247946750,247946750,67209,67209,B5,,,S,96107,Z5,G6350,96107,ZCTA5 96107,221704258477924,70,96107,615,1100,-119.5142518,+38.4520891,-119.5480747,+38.4082772,405020999.482749,163349.030545598,0.0255956992705251,1.2736087353684
82,11696600,11696600,50193,50193,B5,,,S,90242,Z5,G6350,90242,ZCTA5 90242,221704258470898,70,90242,13038,42939,-118.1416696,+33.9220933,-118.1405877,+33.9217932,17103296.5837355,26111.0011092694,0.00114527381583684,0.21765185064754
83,9245270,9245270,3537592,3537592,B5,,,S,90277,Z5,G6350,90277,ZCTA5 90277,221704258471564,70,90277,18145,37856,-118.3871662,+33.8296245,-118.3871239,+33.8300058,18571901.8744613,21095.1116908166,0.00124496282182918,0.169137619819232
84,8487878,8487878,92117,92117,B5,,,S,90033,Z5,G6350,90033,ZCTA5 90033,221704258469198,70,90033,13843,46081,-118.2116184,+34.0511890,-118.2119912,+34.0503802,12530105.933961,17353.577601592,0.000837769572399338,0.14118784044544
85,5428685,5428685,2857097,2857097,B5,,,S,90292,Z5,G6350,90292,ZCTA5 90292,221704258471628,70,90292,17979,27681,-118.4496027,+33.9770270,-118.4520658,+33.9760775,12079613.413161,17511.3304810425,0.000808357428013551,0.145767186686892
86,8887635,8887635,35008,35008,B5,,,S,91030,Z5,G6350,91030,ZCTA5 91030,221704258472536,70,91030,11145,26927,-118.1574383,+34.1103024,-118.1566154,+34.1089567,13048542.3228889,16355.2061497697,0.000871823666784621,0.136461228663181
87,2302505,2302505,0,0,B5,,,S,92093,Z5,G6350,92093,ZCTA5 92093,2217026265990886,70,92093,96,5076,-117.2370825,+32.8821184,-117.2370825,+32.8821184,3273868.34954307,9344.10732861868,0.000221865186858849,0.0750291947975648
88,227268,227268,0,0,B5,,,S,92161,Z5,G6350,92161,ZCTA5 92161,2217026265990887,70,92161,0,66,-117.2315635,+32.8740717,-117.2315635,+32.8740717,323088.87778559,2272.76314256152,2.18972415950702E-05,0.0185504008454209
89,14944740,14944740,0,0,B5,,,S,91942,Z5,G6350,91942,ZCTA5 91942,221704258473908,70,91942,18021,40813,-117.0213441,+32.7772670,-117.0213441,+32.7772670,21199866.628276,32335.0099810193,0.00143838063672774,0.273471164956373
90,1537587665,1537587667,338212,338212,B5,,,S,92227,Z5,G6350,92227,ZCTA5 92227,221704258474867,70,92227,9003,27492,-115.3338870,+32.9868852,-115.3368521,+32.9900500,2191872303.22281,425270.678990587,0.148364053674641,3.52676470911476
91,158872654,158872654,303079,303079,B5,,,S,95488,Z5,G6350,95488,ZCTA5 95488,221704258477351,70,95488,160,240,-123.7720602,+39.7366771,-123.7891737,+39.7271773,269509500.660982,162684.690048711,0.0167244450835824,1.27604188174186
92,647809,647809,0,0,B5,,,S,92179,Z5,G6350,92179,ZCTA5 92179,2217026265990862,70,92179,0,3824,-116.9334746,+32.5839037,-116.9334746,+32.5839037,915016.75228957,4383.36906285146,6.22171280610928E-05,0.036870611880333
93,242557626,242556459,0,0,B5,,,S,92338,Z5,G6350,92338,ZCTA5 92338,221704258475370,70,92338,1,0,-116.2512079,+34.7877209,-116.2512079,+34.7877209,360465786.456196,94864.8757421417,0.0238895575009792,0.796185689603124
